voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
369,206,433,295,165,378,197,235,1599,299,8,0.0417,2,0.0000,4,4176,48
1224,186,248,216,155,383,875,224,439,434,0,0.0000,6,0.9688,6,4384,32
1462,397,456,339,351,269,447,415,289,423,0,0.6667,2,0.0208,0,4848,48
460,384,542,362,412,353,326,552,2198,327,8,0.7241,7,0.0172,8,5916,58
556,441,354,2023,456,410,1223,528,489,421,3,0.6418,6,0.0000,3,6901,67
233,172,1684,338,262,144,283,338,310,636,2,0.9318,9,0.0000,2,4400,44
142,117,100,157,400,958,123,132,162,65,5,0.0000,4,0.0000,7,2356,31
325,302,471,317,366,471,362,371,1485,421,8,0.0149,2,0.0746,1,4891,67
479,284,269,354,334,1736,283,224,290,279,5,0.7955,0,0.0682,5,4532,44
589,647,778,572,647,752,1562,805,636,1674,9,0.5574,6,0.0656,9,8662,61
