section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9164,0.0115,0.8984,0.9316,10
worker_tier,LQ,Recall,0.0903,0.0539,0.0542,0.2076,10
worker_tier,LQ,F1,0.1605,0.0817,0.1022,0.3364,10
worker_tier,HQ,Precision,0.033,0.0039,0.0262,0.0378,10
worker_tier,HQ,Recall,0.6135,0.0978,0.4499,0.7235,10
worker_tier,HQ,F1,0.0626,0.0074,0.05,0.0719,10
worker_tier,Biased,Precision,0.0479,0.0081,0.0374,0.0604,10
worker_tier,Biased,Recall,0.2656,0.0457,0.1992,0.3337,10
worker_tier,Biased,F1,0.0811,0.0135,0.063,0.101,10
worker_overall,Overall,accuracy,0.1169,0.0472,0.0834,0.219,10
worker_overall,Overall,macro_f1,0.1014,0.0265,0.0782,0.1569,10
worker_overall,Overall,ari,0.0015,0.0088,-0.0056,0.0201,10
worker_overall,Overall,biased_as_hq,0.6384,0.0732,0.5211,0.7474,10
worker_overall,Overall,hq_as_biased,0.3053,0.0598,0.2353,0.4057,10
