voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
355,378,446,730,514,429,1883,330,385,346,6,0.4921,3,0.0794,6,5796,63
430,249,1677,232,261,272,304,257,255,375,2,0.7857,0,0.0000,2,4312,56
349,236,305,1634,361,261,274,416,444,326,3,0.7551,8,0.0204,3,4606,49
383,284,254,402,204,1379,274,321,288,270,5,0.6585,3,0.0488,5,4059,41
268,276,236,569,1775,562,271,436,207,322,4,0.9130,3,0.0217,4,4922,46
193,312,251,393,351,318,251,270,316,1530,9,0.7556,3,0.0222,9,4185,45
1929,419,435,513,403,304,282,388,466,532,0,0.0755,9,0.0000,7,5671,53
266,329,305,356,223,247,329,265,1815,565,8,0.9000,9,0.0000,8,4700,50
1850,757,383,539,443,350,334,350,345,430,0,0.7234,1,0.0000,0,5781,47
165,1560,282,199,178,345,295,219,199,258,1,0.8000,5,0.0000,1,3700,50
