section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9054,0.0032,0.9006,0.9093,10
worker_tier,LQ,Recall,0.9061,0.0264,0.8733,0.952,10
worker_tier,LQ,F1,0.9056,0.0134,0.8873,0.9275,10
worker_tier,HQ,Precision,0.185,0.0639,0.0944,0.2645,10
worker_tier,HQ,Recall,0.2103,0.074,0.121,0.3145,10
worker_tier,HQ,F1,0.1933,0.0635,0.106,0.2842,10
worker_tier,Biased,Precision,0.0569,0.0251,0.0197,0.0911,10
worker_tier,Biased,Recall,0.0485,0.0269,0.02,0.0944,10
worker_tier,Biased,F1,0.0512,0.0249,0.0204,0.0908,10
worker_overall,Overall,accuracy,0.8229,0.0228,0.7939,0.86,10
worker_overall,Overall,macro_f1,0.3834,0.0285,0.3433,0.4207,10
worker_overall,Overall,ari,0.0899,0.0286,0.0422,0.1205,10
worker_overall,Overall,biased_as_hq,0.0435,0.0297,0.0173,0.1049,10
worker_overall,Overall,hq_as_biased,0.1316,0.0851,0.0353,0.2892,10
