section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.8791,0.0207,0.8452,0.9041,10
worker_tier,LQ,Recall,0.2024,0.0528,0.1487,0.2798,10
worker_tier,LQ,F1,0.3262,0.0687,0.2537,0.426,10
worker_tier,HQ,Precision,0.0437,0.0079,0.0318,0.0554,10
worker_tier,HQ,Recall,0.3191,0.0598,0.2312,0.4101,10
worker_tier,HQ,F1,0.0767,0.0132,0.0561,0.0935,10
worker_tier,Biased,Precision,0.0758,0.0078,0.0662,0.0866,10
worker_tier,Biased,Recall,0.5845,0.0909,0.4646,0.7564,10
worker_tier,Biased,F1,0.1341,0.0142,0.116,0.1549,10
worker_overall,Overall,accuracy,0.2313,0.045,0.1845,0.293,10
worker_overall,Overall,macro_f1,0.179,0.024,0.1536,0.2081,10
worker_overall,Overall,ari,0.0032,0.0067,-0.0078,0.0128,10
worker_overall,Overall,biased_as_hq,0.2565,0.0566,0.1546,0.3266,10
worker_overall,Overall,hq_as_biased,0.3316,0.0946,0.1961,0.4607,10
