voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1702,512,436,251,389,278,436,447,221,378,0,1.0000,1,0.0000,0,5050,50
378,441,488,364,362,711,422,246,1884,504,8,0.0000,5,0.0000,1,5800,50
292,218,1836,400,304,216,333,370,362,719,2,1.0000,9,0.0000,2,5050,50
302,280,194,1633,319,227,481,332,311,271,3,1.0000,6,0.0000,3,4350,50
278,531,366,355,287,401,1775,514,307,336,6,0.0000,1,0.0000,4,5150,50
555,373,301,381,324,1905,334,237,361,329,5,1.0000,0,0.0000,5,5100,50
1767,319,354,194,254,488,714,399,597,614,0,0.0000,6,1.0000,6,5700,50
361,1539,1410,619,368,358,581,489,1049,426,1,0.0000,2,0.0000,7,7200,50
359,276,446,291,302,256,243,434,1928,265,8,1.0000,2,0.0000,8,4800,50
430,749,223,389,391,433,584,964,740,1697,9,1.0000,7,0.0000,9,6600,50
