section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9248,0.0028,0.923,0.9278,3
worker_tier,LQ,Recall,0.5017,0.0141,0.4877,0.5145,3
worker_tier,LQ,F1,0.6504,0.0125,0.6382,0.6619,3
worker_tier,HQ,Precision,0.0962,0.0138,0.0814,0.1053,3
worker_tier,HQ,Recall,0.602,0.0745,0.5232,0.6574,3
worker_tier,HQ,F1,0.1659,0.0234,0.1409,0.1816,3
worker_tier,Biased,Precision,0.0512,0.0083,0.044,0.0597,3
worker_tier,Biased,Recall,0.296,0.0382,0.2616,0.3338,3
worker_tier,Biased,F1,0.0873,0.0138,0.0753,0.1012,3
worker_overall,Overall,accuracy,0.4948,0.0173,0.4776,0.5103,3
worker_overall,Overall,macro_f1,0.3012,0.0161,0.2848,0.3149,3
worker_overall,Overall,ari,0.0104,0.0028,0.0079,0.0132,3
worker_overall,Overall,biased_as_hq,0.0827,0.05,0.0486,0.136,3
worker_overall,Overall,hq_as_biased,0.2137,0.0514,0.1721,0.2671,3
