section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.926,0.0138,0.9129,0.9463,5
worker_tier,LQ,Recall,0.3328,0.1323,0.2053,0.5019,5
worker_tier,LQ,F1,0.4783,0.1431,0.3353,0.6553,5
worker_tier,HQ,Precision,0.0689,0.0611,0.0285,0.1644,5
worker_tier,HQ,Recall,0.3231,0.1689,0.1615,0.5723,5
worker_tier,HQ,F1,0.112,0.0918,0.0487,0.2551,5
worker_tier,Biased,Precision,0.0514,0.0204,0.0391,0.0834,5
worker_tier,Biased,Recall,0.488,0.1418,0.356,0.679,5
worker_tier,Biased,F1,0.0928,0.0355,0.0715,0.1485,5
worker_overall,Overall,accuracy,0.3402,0.1284,0.222,0.5119,5
worker_overall,Overall,macro_f1,0.2277,0.0852,0.1566,0.3525,5
worker_overall,Overall,ari,0.0093,0.0146,-0.0014,0.0319,5
worker_overall,Overall,biased_as_hq,0.176,0.1256,0.036,0.339,5
worker_overall,Overall,hq_as_biased,0.4738,0.2494,0.0892,0.6677,5
