section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9344,0.006,0.9283,0.9412,5
worker_tier,LQ,Recall,0.4922,0.0161,0.476,0.5149,5
worker_tier,LQ,F1,0.6447,0.014,0.6317,0.664,5
worker_tier,HQ,Precision,0.0965,0.0181,0.0724,0.1174,5
worker_tier,HQ,Recall,0.7138,0.1462,0.5369,0.8969,5
worker_tier,HQ,F1,0.1701,0.0322,0.1275,0.2076,5
worker_tier,Biased,Precision,0.0657,0.0092,0.0533,0.075,5
worker_tier,Biased,Recall,0.362,0.0444,0.296,0.399,5
worker_tier,Biased,F1,0.1111,0.0149,0.0905,0.1262,5
worker_overall,Overall,accuracy,0.4929,0.0143,0.4777,0.5084,5
worker_overall,Overall,macro_f1,0.3086,0.0119,0.302,0.3273,5
worker_overall,Overall,ari,0.0141,0.0045,0.0091,0.02,5
worker_overall,Overall,biased_as_hq,0.098,0.0277,0.071,0.137,5
worker_overall,Overall,hq_as_biased,0.1415,0.0945,0.0354,0.2446,5
