section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9225,0.0165,0.9081,0.9469,5
worker_tier,LQ,Recall,0.2496,0.0457,0.1931,0.3026,5
worker_tier,LQ,F1,0.3911,0.0569,0.3194,0.4542,5
worker_tier,HQ,Precision,0.0673,0.0584,0.0322,0.159,5
worker_tier,HQ,Recall,0.36,0.1981,0.1908,0.66,5
worker_tier,HQ,F1,0.1124,0.0915,0.0553,0.2559,5
worker_tier,Biased,Precision,0.0482,0.0139,0.039,0.0699,5
worker_tier,Biased,Recall,0.538,0.1883,0.394,0.828,5
worker_tier,Biased,F1,0.0884,0.026,0.0709,0.1289,5
worker_overall,Overall,accuracy,0.2676,0.0489,0.2088,0.3241,5
worker_overall,Overall,macro_f1,0.1973,0.0503,0.1526,0.2732,5
worker_overall,Overall,ari,0.0091,0.0099,0.0024,0.0246,5
worker_overall,Overall,biased_as_hq,0.184,0.1222,0.043,0.353,5
worker_overall,Overall,hq_as_biased,0.4738,0.2394,0.0985,0.5985,5
