section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9332,0.0078,0.9255,0.9421,5
worker_tier,LQ,Recall,0.4816,0.0228,0.4595,0.5109,5
worker_tier,LQ,F1,0.6351,0.0203,0.6144,0.6599,5
worker_tier,HQ,Precision,0.0949,0.0185,0.0711,0.117,5
worker_tier,HQ,Recall,0.7138,0.1433,0.5369,0.8954,5
worker_tier,HQ,F1,0.1676,0.0327,0.1256,0.2069,5
worker_tier,Biased,Precision,0.0643,0.0098,0.0512,0.0762,5
worker_tier,Biased,Recall,0.362,0.0585,0.284,0.409,5
worker_tier,Biased,F1,0.1091,0.0164,0.087,0.1284,5
worker_overall,Overall,accuracy,0.4832,0.0206,0.4632,0.5071,5
worker_overall,Overall,macro_f1,0.3039,0.0152,0.294,0.3277,5
worker_overall,Overall,ari,0.0125,0.0058,0.0063,0.0204,5
worker_overall,Overall,biased_as_hq,0.098,0.0259,0.072,0.136,5
worker_overall,Overall,hq_as_biased,0.1446,0.094,0.0354,0.2446,5
