section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9232,0.0154,0.9122,0.9471,5
worker_tier,LQ,Recall,0.2135,0.0376,0.1625,0.2549,5
worker_tier,LQ,F1,0.3456,0.0509,0.2761,0.4016,5
worker_tier,HQ,Precision,0.0667,0.0583,0.0283,0.1577,5
worker_tier,HQ,Recall,0.3662,0.2065,0.1677,0.6738,5
worker_tier,HQ,F1,0.1118,0.092,0.0483,0.2553,5
worker_tier,Biased,Precision,0.0487,0.0131,0.0394,0.0691,5
worker_tier,Biased,Recall,0.572,0.182,0.434,0.851,5
worker_tier,Biased,F1,0.0897,0.0245,0.0723,0.1278,5
worker_overall,Overall,accuracy,0.2364,0.0461,0.1809,0.2975,5
worker_overall,Overall,macro_f1,0.1824,0.0521,0.1365,0.2607,5
worker_overall,Overall,ari,0.0103,0.011,-0.0006,0.0265,5
worker_overall,Overall,biased_as_hq,0.198,0.1301,0.044,0.374,5
worker_overall,Overall,hq_as_biased,0.4923,0.2533,0.0985,0.6692,5
