voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
277,220,1713,400,313,207,313,398,354,852,2,0.8367,9,0.0000,2,5047,49
451,278,246,352,258,1632,279,204,329,295,5,0.7826,0,0.0000,5,4324,46
2135,603,574,721,841,1046,557,868,717,1262,0,0.1429,9,0.2063,6,9324,63
258,638,375,374,227,392,1791,514,299,385,6,0.0000,1,0.0980,4,5253,51
1379,365,301,218,362,233,261,287,147,260,0,0.7805,1,0.0244,0,3813,41
400,370,364,348,308,583,364,255,1524,479,8,0.0444,5,0.0000,1,4995,45
594,596,563,1974,527,337,664,532,427,570,3,0.6094,6,0.0469,3,6784,64
247,1364,197,271,210,260,106,159,178,200,1,0.0000,3,0.0263,8,3192,38
378,311,947,547,814,1290,500,403,407,383,5,0.0000,2,0.0000,9,5980,46
550,1845,1155,373,579,502,825,720,389,472,1,0.1579,2,0.0351,6,7410,57
