voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
174,467,273,256,209,343,265,390,1303,230,8,0.5000,1,0.0217,8,3910,46
760,263,421,422,647,455,291,1742,384,378,7,0.0392,0,0.0784,9,5763,51
328,667,404,345,561,421,1705,344,460,597,6,0.6667,1,0.0370,6,5832,54
279,335,1803,411,271,331,311,271,289,307,2,0.7708,3,0.0417,2,4608,48
512,1874,458,447,525,464,386,534,341,556,1,0.5373,9,0.2687,1,6097,67
965,455,738,578,1516,453,482,1342,609,360,4,0.0435,7,0.0435,8,7498,46
357,189,220,344,201,337,199,1687,339,439,7,0.7955,9,0.0227,7,4312,44
502,313,369,474,1697,426,691,572,556,840,4,0.3036,9,0.0179,5,6440,56
1610,465,275,347,269,421,333,308,311,417,0,0.8049,1,0.0976,0,4756,41
311,215,353,1467,414,286,176,207,364,296,3,0.7872,4,0.0426,3,4089,47
