voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1877,436,402,473,340,573,469,564,368,548,0,1.0000,5,0.0000,0,6050,50
397,1778,301,211,375,306,318,428,224,312,1,1.0000,7,0.0000,1,4650,50
337,449,2100,543,313,338,300,317,308,295,2,1.0000,3,0.0000,2,5300,50
435,302,473,1738,503,380,198,315,453,403,3,1.0000,4,0.0000,3,5200,50
516,280,338,376,1872,370,363,407,617,361,4,1.0000,8,0.0000,4,5500,50
948,540,586,775,1855,382,946,285,273,360,4,0.0000,0,0.0000,5,6950,50
233,694,552,451,444,317,1782,288,442,547,6,1.0000,1,0.0000,6,5750,50
370,279,334,387,272,440,228,1865,343,482,7,1.0000,9,0.0000,7,5000,50
170,229,302,179,279,180,480,321,1597,313,8,1.0000,6,0.0000,8,4050,50
221,341,443,255,250,306,305,332,443,1754,9,1.0000,2,0.0000,9,4650,50
