section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9538,0.002,0.9509,0.9558,10
worker_tier,LQ,Recall,0.8806,0.0297,0.8278,0.9178,10
worker_tier,LQ,F1,0.9155,0.0161,0.8865,0.9358,10
worker_tier,HQ,Precision,0.0582,0.0358,0.0064,0.1128,10
worker_tier,HQ,Recall,0.1531,0.0925,0.0141,0.2742,10
worker_tier,HQ,F1,0.0841,0.0511,0.0088,0.1566,10
worker_tier,Biased,Precision,0.0375,0.0123,0.0227,0.054,10
worker_tier,Biased,Recall,0.0844,0.0349,0.0359,0.1445,10
worker_tier,Biased,F1,0.0512,0.0172,0.0276,0.0768,10
worker_overall,Overall,accuracy,0.8421,0.0283,0.7905,0.8775,10
worker_overall,Overall,macro_f1,0.3502,0.0211,0.314,0.3799,10
worker_overall,Overall,ari,0.0369,0.0223,0.0089,0.0704,10
worker_overall,Overall,biased_as_hq,0.0479,0.0362,0.0104,0.1156,10
worker_overall,Overall,hq_as_biased,0.1203,0.0958,0.0191,0.2914,10
