section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9534,0.0022,0.95,0.9565,10
worker_tier,LQ,Recall,0.8442,0.042,0.7949,0.9188,10
worker_tier,LQ,F1,0.895,0.0237,0.866,0.9362,10
worker_tier,HQ,Precision,0.0369,0.0285,0.0017,0.0767,10
worker_tier,HQ,Recall,0.1109,0.0727,0.007,0.2238,10
worker_tier,HQ,F1,0.0545,0.0399,0.0028,0.1134,10
worker_tier,Biased,Precision,0.0221,0.0035,0.016,0.0261,10
worker_tier,Biased,Recall,0.0688,0.027,0.0255,0.1042,10
worker_tier,Biased,F1,0.033,0.0074,0.0193,0.041,10
worker_overall,Overall,accuracy,0.8063,0.04,0.7589,0.8764,10
worker_overall,Overall,macro_f1,0.3275,0.0182,0.3059,0.3524,10
worker_overall,Overall,ari,0.0286,0.0227,-0.0004,0.0674,10
worker_overall,Overall,biased_as_hq,0.0781,0.0215,0.0521,0.1122,10
worker_overall,Overall,hq_as_biased,0.2094,0.0734,0.0973,0.3055,10
