section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9499,0.0116,0.9312,0.9663,10
worker_tier,LQ,Recall,0.1274,0.0242,0.098,0.1635,10
worker_tier,LQ,F1,0.224,0.0374,0.1775,0.2789,10
worker_tier,HQ,Precision,0.0192,0.0029,0.0143,0.0231,10
worker_tier,HQ,Recall,0.3859,0.0722,0.2848,0.493,10
worker_tier,HQ,F1,0.0366,0.0056,0.0273,0.0442,10
worker_tier,Biased,Precision,0.0326,0.0036,0.0259,0.037,10
worker_tier,Biased,Recall,0.5135,0.0727,0.388,0.619,10
worker_tier,Biased,F1,0.0612,0.0069,0.0485,0.0699,10
worker_overall,Overall,accuracy,0.1442,0.0231,0.1141,0.1765,10
worker_overall,Overall,macro_f1,0.1073,0.0134,0.0873,0.1238,10
worker_overall,Overall,ari,-0.0009,0.0027,-0.0059,0.0022,10
worker_overall,Overall,biased_as_hq,0.3646,0.0866,0.218,0.4917,10
worker_overall,Overall,hq_as_biased,0.4781,0.073,0.3941,0.5988,10
