section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9094,0.0065,0.901,0.9186,10
worker_tier,LQ,Recall,0.5235,0.0216,0.4913,0.5553,10
worker_tier,LQ,F1,0.6642,0.0172,0.6395,0.6909,10
worker_tier,HQ,Precision,0.1123,0.0234,0.0716,0.1429,10
worker_tier,HQ,Recall,0.5537,0.1306,0.3338,0.727,10
worker_tier,HQ,F1,0.1867,0.0398,0.1179,0.2389,10
worker_tier,Biased,Precision,0.0702,0.0156,0.0458,0.0946,10
worker_tier,Biased,Recall,0.311,0.075,0.1958,0.437,10
worker_tier,Biased,F1,0.1145,0.0256,0.0742,0.1555,10
worker_overall,Overall,accuracy,0.5115,0.0173,0.4885,0.5378,10
worker_overall,Overall,macro_f1,0.3218,0.0195,0.2903,0.349,10
worker_overall,Overall,ari,0.016,0.006,0.0087,0.0247,10
worker_overall,Overall,biased_as_hq,0.103,0.0501,0.0395,0.1926,10
worker_overall,Overall,hq_as_biased,0.2081,0.0969,0.0801,0.3673,10
