section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9113,0.007,0.9011,0.9195,10
worker_tier,LQ,Recall,0.5199,0.0228,0.491,0.5559,10
worker_tier,LQ,F1,0.6618,0.0185,0.6381,0.6917,10
worker_tier,HQ,Precision,0.1129,0.0258,0.0695,0.1463,10
worker_tier,HQ,Recall,0.5632,0.138,0.3263,0.7344,10
worker_tier,HQ,F1,0.1881,0.0435,0.1146,0.244,10
worker_tier,Biased,Precision,0.071,0.0162,0.0494,0.0937,10
worker_tier,Biased,Recall,0.316,0.0754,0.2079,0.4343,10
worker_tier,Biased,F1,0.1158,0.0264,0.0798,0.1541,10
worker_overall,Overall,accuracy,0.509,0.0208,0.4793,0.5445,10
worker_overall,Overall,macro_f1,0.3219,0.0231,0.2902,0.354,10
worker_overall,Overall,ari,0.0173,0.0072,0.0084,0.0281,10
worker_overall,Overall,biased_as_hq,0.1065,0.0464,0.0484,0.191,10
worker_overall,Overall,hq_as_biased,0.2191,0.1001,0.1006,0.3855,10
