section,name,metric,mean,sd,ci_low,ci_high,n
worker_tier,LQ,Precision,0.9098,0.0059,0.9004,0.9165,10
worker_tier,LQ,Recall,0.5289,0.0199,0.4947,0.5464,10
worker_tier,LQ,F1,0.6688,0.0161,0.6416,0.6847,10
worker_tier,HQ,Precision,0.1117,0.0271,0.0672,0.1449,10
worker_tier,HQ,Recall,0.5529,0.1505,0.3222,0.7384,10
worker_tier,HQ,F1,0.1858,0.0459,0.1113,0.2423,10
worker_tier,Biased,Precision,0.0652,0.0149,0.0454,0.0859,10
worker_tier,Biased,Recall,0.282,0.0647,0.1861,0.3655,10
worker_tier,Biased,F1,0.1058,0.024,0.0731,0.1391,10
worker_overall,Overall,accuracy,0.5145,0.0185,0.4841,0.5375,10
worker_overall,Overall,macro_f1,0.3201,0.0227,0.2877,0.3494,10
worker_overall,Overall,ari,0.0172,0.0063,0.0078,0.0248,10
worker_overall,Overall,biased_as_hq,0.122,0.0507,0.0595,0.1971,10
worker_overall,Overall,hq_as_biased,0.2191,0.1039,0.0825,0.3798,10
