voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
329,1893,322,464,286,468,404,384,401,537,1,0.7857,9,0.0000,1,5488,56
287,395,217,285,290,200,265,492,220,1535,9,0.0000,7,0.0000,2,4186,46
1874,348,308,382,350,545,314,339,313,372,0,0.8571,5,0.0204,0,5145,49
338,483,456,544,701,329,1857,429,647,258,6,0.8679,4,0.0189,6,6042,53
255,219,270,271,392,335,379,200,249,1680,9,0.9200,4,0.0200,9,4250,50
393,588,398,434,563,2030,458,288,414,506,5,0.6667,1,0.0152,5,6072,66
827,253,331,206,317,346,472,424,656,1592,9,0.0000,0,0.0000,4,5424,48
169,278,337,268,288,324,1506,240,430,346,6,0.0217,8,0.0000,7,4186,46
204,305,265,195,276,288,317,416,1726,332,8,0.8511,7,0.0213,8,4324,47
253,403,468,1489,202,247,195,167,266,210,3,0.9487,2,0.0000,3,3900,39
