voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
274,1461,296,305,226,291,155,194,227,219,1,0.0000,3,0.0208,8,3648,48
479,714,270,396,439,484,764,928,544,1732,9,0.8400,7,0.0000,9,6750,50
364,338,233,1667,388,298,557,331,369,327,3,0.6897,6,0.0345,3,4872,58
441,280,256,315,261,1706,261,170,299,286,5,0.8000,0,0.0000,5,4275,45
380,440,485,411,388,693,428,305,1958,506,8,0.0185,5,0.0000,1,5994,54
338,190,520,348,168,243,200,275,1423,300,8,0.1111,2,0.0000,4,4005,45
1626,370,375,292,422,267,381,389,220,350,0,0.7059,4,0.1176,0,4692,51
255,218,1766,423,290,193,296,370,328,757,2,0.8750,9,0.0000,2,4896,48
313,1426,1283,459,299,326,434,345,575,274,1,0.0213,2,0.0000,7,5734,47
1856,358,408,272,286,585,923,426,569,581,0,0.1111,6,0.7407,6,6264,54
