voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
1630,273,309,412,391,298,189,316,390,438,0,0.8478,9,0.0435,0,4646,46
325,310,156,282,347,275,368,383,338,1428,9,0.6667,7,0.0256,9,4212,39
157,1618,256,325,277,166,164,230,323,279,1,0.7818,3,0.0182,1,3795,55
435,405,185,487,549,1745,469,433,294,560,5,0.7593,9,0.0926,5,5562,54
507,325,385,345,364,432,1827,258,369,441,6,0.6667,0,0.1373,6,5253,51
594,762,2027,605,394,1244,769,860,434,711,2,0.6500,5,0.0333,2,8400,60
283,307,278,434,422,357,372,1849,461,388,7,0.8235,8,0.0000,7,5151,51
318,340,1718,632,508,347,454,330,167,286,2,0.0000,3,0.0000,4,5100,50
222,240,258,1684,481,288,395,297,399,244,3,0.7959,4,0.0612,3,4508,49
187,107,321,188,169,207,288,216,1293,219,8,0.8222,2,0.0889,8,3195,45
