voted_0,voted_1,voted_2,voted_3,voted_4,voted_5,voted_6,voted_7,voted_8,voted_9,mv_label,mv_correct_frac,second_label,second_correct_frac,plurality,n_votes,n_tasks
343,318,1946,281,359,428,334,446,431,522,2,0.8077,9,0.0000,2,5408,52
760,430,244,359,322,521,371,427,418,1636,9,0.8571,0,0.0000,9,5488,49
938,410,321,222,543,764,1680,545,236,821,6,0.0000,0,0.0208,1,6480,48
855,230,339,485,476,633,1870,187,362,563,6,0.8750,0,0.0208,6,6000,48
1671,573,580,465,309,271,324,550,301,680,0,0.7358,9,0.0377,0,5724,53
215,132,300,149,195,1680,255,447,285,252,5,0.9348,7,0.0000,5,3910,46
368,356,1852,884,296,548,376,265,432,386,2,0.0000,3,0.0000,7,5763,51
266,422,391,535,1968,275,492,312,247,384,4,0.8333,3,0.0741,4,5292,54
1827,683,994,841,300,474,273,459,328,581,0,0.0769,2,0.0385,8,6760,52
326,437,547,1944,449,555,435,456,358,697,3,0.8936,9,0.0000,3,6204,47
